category_name,distance,rating,latitude,longitude,difference_in_m_from_center
Plaza,623,9.1,45.757567,4.832622,748.4345119868261
Plaza,782,9.1,45.76058,4.835971,817.5151205697168
Monument,847,9.2,45.760449,4.83345,921.9757889558673
Beer Bar,679,8.5,45.754275,4.846536,951.3931735308048
French Restaurant,814,8.2,45.759207,4.844517,961.5517985517414
Monument,847,8.8,45.760041,4.832065,980.3814210937363
Coffee Shop,914,8.8,45.761036,4.832986,1004.7277805112273
Bar,1055,8.5,45.762841,4.837812,1037.0609768113002
Fast Food Restaurant,905,8.4,45.759643,4.830362,1088.0009877073492
Pedestrian Plaza,1146,8.6,45.763616,4.840894,1167.9219983077135
Brasserie,934,8.0,45.74844,4.828225,1221.7778874349913
History Museum,1242,8.7,45.761927,4.827248,1516.3584544534679
Creperie,1340,9.0,45.763228,4.828026,1546.507913286852
Museum,1511,8.9,45.767018,4.833468,1582.5787698270362
Concert Hall,1591,8.6,45.767713,4.835757,1597.1678027612847
Beer Bar,1448,9.0,45.764823,4.828572,1635.499452054997
Monument,1595,8.7,45.767619,4.833502,1644.8168806786045
Landmarks and Outdoors,1381,8.6,45.762485,4.82579,1682.7187222837247
Playground,1495,8.6,45.745995,4.85144,1708.6741112995728
Grocery Store,1445,9.1,45.763376,4.850351,1755.3539333184501
Beer Bar,1739,9.0,45.768335,4.830427,1848.8333869857534
Bistro,1727,8.7,45.768271,4.845703,1849.1369031655342
Monument,1569,9.2,45.759126,4.821502,1934.8286429242426
Scenic Lookout,1545,9.0,45.762687,4.823028,1949.8177757709657
Monument,1804,9.1,45.768116,4.828022,1964.3799552883988
Historic and Protected Site,1511,8.8,45.759222,4.820316,2063.122873204557
Computer Repair Service,1648,8.4,45.761432,4.855542,2136.968782773216
Toy Store,1680,8.3,45.762139,4.855558,2172.0736992293914
Restaurant,2838,9.5,45.768327,4.852417,2295.5535819441902
Plaza,2385,8.3,45.774738,4.83279,2427.315818516885
Movie Theater,2065,8.1,45.740665,4.818694,2573.33064847523
Electronics Store,2155,8.4,45.741303,4.816633,2730.950796125403
Monument,2845,8.6,45.778673,4.827487,3028.0895578656773
Art Gallery,2562,8.2,45.737073,4.815083,3129.7969456465335
Museum,2747,8.5,45.73302,4.818361,3149.586068587498
Landmarks and Outdoors,2633,8.6,45.775506,4.856468,3188.8718993177545
Zoo,3034,8.6,45.777629,4.856517,3376.0936576948
Scenic Lookout,3032,8.8,45.730035,4.818369,3395.915042798794
French Restaurant,4058,8.1,45.785575,4.812636,4538.98818998684
Bakery,5004,8.6,45.798256,4.829833,5049.950367619922
French Restaurant,6940,8.1,45.815712,4.847452,6984.778742995419
Art Museum,9366,8.2,45.837487,4.826422,9410.72261323295
Park,9087,8.3,45.799594,4.934664,11887.154613445859
Fast Food Restaurant,14243,8.0,45.872851,4.770494,15220.249911255105
Athletic Field,11238,8.9,45.765234,4.981836,16018.835177199751
Museum,25061,8.4,45.52908,4.870463,25169.891336612087
Concert Hall,25608,8.5,45.524938,4.878725,25769.962690147033
Zoo,30022,8.4,45.549991,4.583793,36145.307525176075
Historic and Protected Site,31246,8.8,45.903388,5.179242,41370.77590093833
Pub,38578,8.2,45.590224,5.276562,51944.64143226358
