business_name,category_name,distance,rating,latitude,longitude,locality,region,postcode
Auberge du Pont de Collonges-Paul Bocuse,French Restaurant,6940,8.1,45.815712,4.847452,Collonges-au-Mont-d'Or,Auvergne-Rhône-Alpes,69660
La Demeure du Chaos,Art Museum,9366,8.2,45.837487,4.826422,Saint-Romain-au-Mont-d'Or,Auvergne-Rhône-Alpes,69270
Guy Lassausaie,Fast Food Restaurant,14243,8.0,45.872851,4.770494,Chasselay,Auvergne-Rhône-Alpes,69380
Zoo de Saint-Martin-la-Plaine,Zoo,30022,8.4,45.549991,4.583793,Saint-Martin-la-Plaine,Auvergne-Rhône-Alpes,42800
Place Bellecour,Plaza,623,9.1,45.757567,4.832622,Lyon,Auvergne-Rhône-Alpes,69002
Parc de la Tête d'Or,Restaurant,2838,9.5,45.768327,4.852417,Lyon,Auvergne-Rhône-Alpes,69006
Les Halles de Lyon,Grocery Store,1445,9.1,45.763376,4.850351,Lyon,Auvergne-Rhône-Alpes,69003
Site gallo-romain Lyon-Fourvière,Historic and Protected Site,1511,8.8,45.759222,4.820316,Lyon,Auvergne-Rhône-Alpes,69005
Place de la République,Plaza,782,9.1,45.76058,4.835971,Lyon,Auvergne-Rhône-Alpes,69002
Place des Terreaux,Monument,1595,8.7,45.767619,4.833502,Lyon,Auvergne-Rhône-Alpes,69001
Esplanade de Fourvière,Scenic Lookout,1545,9.0,45.762687,4.823028,Lyon,Auvergne-Rhône-Alpes,69005
Apple Part-Dieu,Computer Repair Service,1648,8.4,45.761432,4.855542,Lyon,Auvergne-Rhône-Alpes,69003
Théâtre Antique de Fourvière (Théâtre antique de Fourvière),Monument,1569,9.2,45.759126,4.821502,Lyon,Auvergne-Rhône-Alpes,69005
Place des Jacobins,Monument,847,9.2,45.760449,4.83345,Lyon,Auvergne-Rhône-Alpes,69002
Opéra de Lyon,Concert Hall,1591,8.6,45.767713,4.835757,Lyon,Auvergne-Rhône-Alpes,69001
Musée des Confluences,Museum,2747,8.5,45.73302,4.818361,Lyon,Auvergne-Rhône-Alpes,69002
Brasserie Georges,Brasserie,934,8.0,45.74844,4.828225,Lyon,Auvergne-Rhône-Alpes,69002
Groupama Stadium,Athletic Field,11238,8.9,45.765234,4.981836,Décines-Charpieu,Auvergne-Rhône-Alpes,69150
Mur des Canuts,Monument,2845,8.6,45.778673,4.827487,Lyon,Auvergne-Rhône-Alpes,69004
UGC Ciné Cité Confluence,Movie Theater,2065,8.1,45.740665,4.818694,Lyon,Auvergne-Rhône-Alpes,69002
Fresque des Lyonnais,Monument,1804,9.1,45.768116,4.828022,Lyon,Auvergne-Rhône-Alpes,69001
Jardin Zoologique de la Tête d'Or,Zoo,3034,8.6,45.777629,4.856517,Lyon,Auvergne-Rhône-Alpes,69006
L'Albion Public House,Pub,38578,8.2,45.590224,5.276562,Bourgoin-Jallieu,Auvergne-Rhône-Alpes,38300
Apple Confluence,Electronics Store,2155,8.4,45.741303,4.816633,Lyon,Auvergne-Rhône-Alpes,69002
Musée Miniature et Cinéma,History Museum,1242,8.7,45.761927,4.827248,Lyon,Auvergne-Rhône-Alpes,69005
Place des Célestins,Monument,847,8.8,45.760041,4.832065,Lyon,Auvergne-Rhône-Alpes,69002
Hard Rock Cafe Lyon,Bar,1055,8.5,45.762841,4.837812,Lyon,Auvergne-Rhône-Alpes,69002
Slake Coffee House,Coffee Shop,914,8.8,45.761036,4.832986,Lyon,Auvergne-Rhône-Alpes,69002
Montée des Chazeaux,Landmarks and Outdoors,1381,8.6,45.762485,4.82579,Lyon,Auvergne-Rhône-Alpes,69004
Lego Store,Toy Store,1680,8.3,45.762139,4.855558,Lyon,Auvergne-Rhône-Alpes,69003
Confluence Saône-Rhône,Scenic Lookout,3032,8.8,45.730035,4.818369,Lyon,Auvergne-Rhône-Alpes,
Arsenic,French Restaurant,814,8.2,45.759207,4.844517,Lyon,Auvergne-Rhône-Alpes,69003
L'Ouest,French Restaurant,4058,8.1,45.785575,4.812636,Lyon,Auvergne-Rhône-Alpes,69009
Hopstore,Beer Bar,1739,9.0,45.768335,4.830427,Lyon,Auvergne-Rhône-Alpes,69001
Jocteur,Bakery,5004,8.6,45.798256,4.829833,Lyon,Auvergne-Rhône-Alpes,69009
La Voûte Chez Léa,Fast Food Restaurant,905,8.4,45.759643,4.830362,Lyon,Auvergne-Rhône-Alpes,69002
Hopper,Beer Bar,679,8.5,45.754275,4.846536,Lyon,Auvergne-Rhône-Alpes,69003
