business_name,title,distance,rating,review_count,latitude,longitude,zip_code
Passerelle de l'Homme de la Roche,Landmarks & Historical Buildings,1961.7224592742,5.0,5,45.7670937,4.8218813,69005
[CYS] 12 : Bon Anniversaire le CYS,Unofficial Yelp Events,2736.2980011568934,5.0,5,45.777795,4.834284,69004
CYS #6 : l'édition qui voyage dans le temps,Yelp Events,518.6820927721337,5.0,6,45.7526817,4.83146,69002
RDV Yelp Officiel Atelier Méthode Douce chez Puzzle,Yelp Events,1233.176168236674,5.0,7,45.76418,4.83375,69002
Maison Gilles Drevet,Butcher,3698.627496195694,5.0,7,45.76902,4.88017,69100
Le Boulanger de Saint-Just,Bakeries,1478.0652378577877,5.0,7,45.756026,4.819296,69005
Aromatic,French,2709.7002376963974,5.0,7,45.77765,4.8338599,69004
Bouchon Thomas,Lyonnais,461.721390882421,5.0,6,45.753031,4.832087,69002
Le Comptoir des Cousins,French,2212.7502671911698,5.0,6,45.76938,4.8553,69006
Cercle Rouge,French,1456.3807452719557,5.0,5,45.7666899,4.83716,69001
Le Bouchon Comtois,Delicatessen,2235.1480565289417,5.0,9,45.76909,4.8559,69006
Le Boeuf d'Argent,French,1308.2990164565783,5.0,5,45.762142,4.826556,69005
Auberge du Pastoureau,French,20895.29247733443,5.0,6,45.744802,4.568991,69690
La Gamelle,Bistros,3980.343531255905,5.0,15,45.7537613,4.8893099,69003
Soirée Elite Yelp @ Le Jeu de Quilles,Yelp Events,1489.4146070810677,5.0,13,45.7661094665527,4.8329496383667,69001
Le Briey,French,760.6493146127482,5.0,10,45.7549472730812,4.84758216887712,69003
Malice & Sens,Fast Food,3188.0993039375344,5.0,10,45.7764183,4.8626956,69100
Restaurant Jean Brouilly,Restaurants,36151.56576276867,5.0,9,45.89315,4.41669,69170
Culina Hortus,Vegetarian,1463.060072599976,5.0,8,45.7666498849238,4.837353,69001
Like an Elephant,Vegan,2250.6446000433994,5.0,7,45.7736182180769,4.83481485396624,69001
Côté Part Dieu,Wine Bars,1273.5970727673484,5.0,7,45.75998,4.85143,69003
Au Coude à Coude,Wine Bars,2001.9364121590447,5.0,7,45.76699,4.85509,69006
RDV Yelp Officiel Mon Premier Shooting Photo de Lyonnais-e,Yelp Events,1118.2497724346413,5.0,19,45.75776,4.82501,69005
Mont Thou,Landmarks & Historical Buildings,10293.447063617532,5.0,6,45.8417522615498,4.79791638469152,69450
Esplanade Jardin de la Grande Côte,Parks,2058.484219528863,5.0,12,45.7714799,4.83171,69001
Senor Carlos,Food Trucks,1148.8746106335902,5.0,6,45.7629013,4.8319898,69002
Le Ganathain,Lyonnais,856.4399229161896,5.0,6,45.7514789,4.8486516,69007
Patisserie Martel,Bakeries,1130.755419879442,5.0,5,45.7521833,4.8524514,69003
Le Bouchon des Cordeliers,Lyonnais,1209.3503233554243,5.0,15,45.764374,4.837704,69002
Auberge de Clochemerle,French,38632.5056071033,5.0,5,46.0564042,4.5934516,69460
Histoire sans faim!,French,9589.873162325453,5.0,5,45.84,4.83481,69270
MSB - Mon Salade Bar,Salad,1121.9302723137266,5.0,5,45.76021,4.8488,69003
Fresques de Lyon - Histoire des Transports en Commun,Landmarks & Historical Buildings,3332.1882957671487,5.0,5,45.74835,4.87929,69003
Best Breizh,Creperies,7078.705111095746,5.0,5,45.7201396170467,4.91568304882333,69500
L'Epicerie Comptoir,Delicatessen,4213.733235772916,5.0,9,45.7862892,4.8112202,69009
Aussie Frenchi,Breakfast & Brunch,3372.3793818928107,5.0,9,45.7746650598459,4.80686188806077,69009
Théâtres Romains de Fourvière,Landmarks & Historical Buildings,1399.5048033762216,5.0,13,45.7598553,4.8220907,69000
Diploid,Cafes,1455.098625509249,5.0,30,45.7659802747812,4.8323592916131,69001
Le CYB: Club des Yelpeurs Bruncheurs #1,Yelp Events,439.16811110983275,5.0,4,45.7510221,4.8424077,69007
FOF Let's Jump @Trampoline Park par Myosotis D.,Unofficial Yelp Events,11675.067922734524,5.0,4,45.71106,4.97522,69800
Best Bagels,Bagels,2471.136498923762,5.0,4,45.77528,4.8312099,69004
Hector,French,1700.759228242057,5.0,4,45.76794,4.83075,69001
B.L.O,Steakhouses,572.2978024000896,5.0,4,45.751768,4.831054,69002
Les 3 Sardines,Seafood,49617.83776805547,5.0,8,45.432697,4.394747,42000
Le Dôme,Bars,552.1096708136928,5.0,4,45.75881,4.83701,69002
La Table de Lachassagne,Restaurants,22515.649655549154,5.0,4,45.9303791,4.6965117,69480
En Voûte et Moi,Bars,1444.7553962060329,5.0,4,45.747033,4.82185,69002
Le Neuvième Art,French,2154.7543431154404,5.0,20,45.76793,4.8563599,69006
L'Angle des Saveurs,French,5355.517691324145,5.0,4,45.738602,4.772367,69340
Bistrot Berthet,Bistros,3441.014640130897,5.0,4,45.77416,4.80527,69009
