empty_slots,free_bikes,total_slots,name,latitude,longitude,difference_in_m_from_center
10,30,40,7035 - MARSEILLE / UNIVERSITÉ,45.750945,4.83927,316.70859938602484
1,20,21,7024 - BANCEL / CHEVREUL,45.748504,4.840505,620.3603309059147
1,9,10,7008 - JEAN JAURÈS / GUILLOTIÈRE,45.75251,4.846278,925.4057684410636
3,19,22,2013 - CÉLESTINS,45.759932,4.832111,967.999841603522
0,15,15,7016 - PLACE SAINT LOUIS,45.748925,4.847714,1191.8548230137958
9,20,29,7030 - QUARTIER GENERAL FRERE,45.743163,4.834165,1223.8261898137328
0,19,19,5040 - PLACE CRÉPU,45.757847,4.826103,1405.9586966826635
10,7,17,2023 -  PERRACHE / PETIT,45.7444746076792,4.82671963006449,1603.573371674905
2,37,39,7003 - GAMBETTA / GARIBALDI,45.751827,4.8526,1631.2050650390522
2,11,13,7038 - PLACE STALINGRAD,45.749622,4.85299,1718.6692590094372
1,18,19,1031 - PLACE DE LA PAIX,45.768023,4.831733,1755.7407868409698
18,1,19,5015 - FULCHIRON,45.75197,4.821662,1821.4526524793796
8,11,19,6022 - PLACE MARÉCHAL LYAUTEY,45.769383,4.842364,1828.3495490149314
19,1,20,6004 - FOCH,45.768896,4.844845,1870.245719674112
19,2,21,3009 - MUSEE AFRICAIN,45.750251,4.857919,2240.2279541158773
13,15,28,2021 - RAMBAUD / ECOLE DU CINÉMA,45.745824,4.817176,2463.499780514049
17,5,22,2010 - CONFLUENCE / DARSE,45.743317,4.815747,2716.4162981507975
6,11,17,8025 - DUMONT / JOUVET,45.744447,4.860889,2732.185869359995
23,7,30,4012 - PLACE ADRIEN GODIEN,45.778767,4.841109,2825.788743266152
14,5,19,3066 - KIMMERLING / FAURE,45.754296,4.86359,2841.863864233476
11,3,14,4009 - JACQUARD / DENFERT-ROCHEREAU,45.77591,4.825394,2854.0587483190247
19,1,20,1023 - CROIX ROUSSE / PERFETTI,45.772229,4.819389,2930.7883943748266
19,2,21,4004 - HÉNON,45.779786,4.827635,3136.387489730876
18,2,20,10111 - CHARLES HERNU,45.770309,4.86196,3248.763657454751
13,7,20,4025 - CHAZIÈRE,45.775425,4.817888,3302.5030870911974
10,10,20,3021 - PLACE DE LA FERRANDIÈRE,45.759488,4.869346,3542.3226367821626
32,3,35,10005 - 11 NOVEMBRE,45.779702,4.860029,3799.738739445585
12,7,19,16001 - VENISSIEUX - PLACE ROMAND,45.725891,4.858428,3812.2643613564587
5,15,20,8029 - ETATS-UNIS / LÉVIGNE,45.732366,4.865101,3814.7684391583807
26,4,30,3070 - REBATEL / SAINT-MAXIMIN,45.747835,4.872261,3854.6072084021685
8,5,13,5016 - POINT DU JOUR / GRANGES,45.756204,4.802727,3926.79054732293
27,0,27,6042 - CITÉ INTERNATIONALE / RÉSIDENCE HÔTELIÈRE,45.784812,4.856432,4033.1051791055156
18,4,22,4023 - PONT MASARYK,45.778175,4.810716,4083.340271664584
18,4,22,6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,45.78458,4.859664,4205.267333001905
3,15,18,16002 - VÉNISSIEUX - LÉVY / VIENNE,45.719399,4.854681,4213.8119969692325
7,9,16,3086 - FEUILLAT / LACASSAGNE,45.749563,4.875934,4233.290759246873
14,1,15,11004 - CALUIRE - BRANLY / PASTEUR,45.79169,4.843452,4282.069263531845
9,15,24,10028 - ECOLE DE MUSIQUE,45.767467,4.874032,4289.5175736058
8,8,16,9003 - PLACE VALMY,45.775679,4.805314,4384.545856810464
1,14,15,10120 - SALENGRO / DESCARTES,45.776239,4.871634,4506.529020955478
20,0,20,9013 - QUAI PAUL SÉDALLIAN,45.787522,4.814418,4594.927029863294
4,16,20,9043 - MARIETTON OUEST,45.776087,4.799725,4933.1329698550935
3,1,4,10011 - GRATTE-CIEL,45.769226,4.880491,5029.160185000809
5,13,18,8061 - STADE VUILLERMET,45.725403,4.881292,5728.760083127486
16,6,22,10113 - GARE DE VILLEURBANNE,45.755768,4.891542,5948.491541033602
8,8,16,10091 - CHÂTEAU GAILLARD / FORT,45.774754,4.887977,6028.263808713473
16,5,21,10122 - VERDUN / DESGRAND,45.784023,4.897102,7383.544397813944
6,14,20,15002 - ST PRIEST - CITE BERLIET,45.70597,4.900886,8749.834996650956
15,0,15,12003 - VAULX - BIBLIOTHEQUE,45.757092,4.92731,9921.424750863369
12,5,17,32001 - COUZON - CENTRE,45.846034,4.832409,10290.005596902181
